Title,Source,Location,Publisher Location,Date,Sentences,Relevant
Watchdog Sebi scanning demonetisation impact on $11bn foreign funds outflow [India Business],The Times of India,KOLKATA,New Delhi,2017-01-19,"notes. Quoting data from the International Monetary Fund (IMF), Sinha said demonetisation is likely to have a short-term effect on the economy. ""Although the international",0
"The government gets richer, while people become poorer",Free Press Journal,Conclusion,NEW DELHI,2017-01-19,the highlighted parts in the table). The adverse impact of demonetisation has been confirmed once again (http://www.asiaconverge.com/2017/01/2016-retrospective-pre-requisites-for-epayment/). That in turn has made some people remark,0
Slaves via the banking system?,Herald,Goa,New Delhi,2017-01-19,not unduly fazed by demonetisation. They continue to deal in black money in new currency. In fact with the Rs 2000 notes it has become,0
RBI governor Urjit Patel's briefing leaves MPs no wiser about demonetisation,Mint,New Delhi,New Delhi,2017-01-19,"However, they did not respond when asked whether the discussions pertained to demonetisation or merely new currency notes, added the committee member cited in the",0
"For 1st time since Nov 8, currency in circulation rises [Times Nation]",The Times of India (Online),NA,New Delhi,2017-01-19,Committee on Finance that RBI has infused Rs 9.2 lakh crore of new currency notes into the system after demonetisation. According to a report by,0
Urjit Patel grilled: RBI Governor finds unexpected saviour in Manmohan Singh,DNA : Daily News & Analysis,NA,Mumbai,2017-01-19,informed that the RBI has issued Rs 9.2 lakh crores in the new currency to ensure liquidity in the economy post demonetization. When one of,0
"For first time since Nov 8, a rise in notes in circulation [Times Nation | Black Out?]",The Times of India (Online),NA,New Delhi,2017-01-19,Standing Committee on Finance that RBI has infused Rs 9.2 lakh crore of new currency notes into the system after demonetisation. According to a report,0
Indian political parties and the King Canute option - Part 2 [Blogs],Blogs (The Times of India Online Edition and The Economic Times Online Edition),NA,New Delhi,2017-01-19,"or abolishing them altogether? None whatsoever.This is the main reason why, symbolism apart, demonetisation is unlikely to have long lasting effects on the black economy.",0
Cos' asset sales cut NPA burden of banks,DNA : Daily News & Analysis,Mumbai,Mumbai,2017-01-20,"construction sector are also deleveraging. Going forward, the demonetization effect is also likely to rub on topline of these entities. However, we await the results",0
Indian political parties and the King Canute option - Part 2 [Blogs],Blogs (The Times of India Online Edition and The Economic Times Online Edition),NA,New Delhi,2017-01-20,"or abolishing them altogether? None whatsoever.This is the main reason why, symbolism apart, demonetisation is unlikely to have long lasting effects on the black economy.",0
"For first time since November 8, a rise in notes in circulation [India]",The Times of India,MUMBAI,New Delhi,2017-01-20,Standing Committee on Finance that RBI has infused Rs 9.2 lakh crore of new currency notes into the system after demonetisation. According to a report,0
"You may soon need PAN for cash payments as low as Rs 30,000 [Evening Briefing]",ET Now,NEW DELHI,New Delhi,2017-01-20,"for a less-cash economy after demonetisation and restrictions on cash withdrawals, the government may announce big disincentives in the upcoming Budget for usage of cash.",2
Government may lower limit for quoting PAN for cash transactions [Personal Finance News],The Economic Times,NEW DELHI,New Delhi,2017-01-20,"for a less-cash economy after demonetisation and restrictions on cash withdrawals, the government may announce big disincentives in the upcoming Budget for usage of cash.",0
Almost 50% ATMs still not replenished daily [Pune],The Times of India,Pune,New Delhi,2017-01-20,that the RBI has pumped back Rs 9.2 lakh crore worth of new notes into circulation. When the demonetisation drive was initiated on the evening,0
Good news on tax on Indian assets turns FPI's bullish; buy shares worth $75 mn in 2 sessions,Financial Express,NA,NEW DELHI,2017-01-20,"strategy report published on January 3, said, ""While the near-term growth numbers are likely to be weak, due to the impact of demonetisation, 2017 is|are likely to be weak, due to the impact of demonetisation, 2017 is likely to see a turn in the growth cycle, and therefore it",0
"For first time since November 8, a rise in notes in circulation [Politics and Nation]",The Economic Times,MUMBAI,New Delhi,2017-01-20,Standing Committee on Finance that RBI has infused Rs 9.2 lakh crore of new currency notes into the system after demonetisation. According to a report,0
Government may lower limit for quoting PAN number for cash transactions [India Business],The Times of India,NEW DELHI,New Delhi,2017-01-20,"for a less-cash economy after demonetisation and restrictions on cash withdrawals, the government may announce big disincentives in the upcoming Budget for usage of cash.",0
Government may lower limit for quoting PAN number for cash transactions [Policy],The Economic Times,NEW DELHI,New Delhi,2017-01-20,"for a less-cash economy after demonetisation and restrictions on cash withdrawals, the government may announce big disincentives in the upcoming Budget for usage of cash.",0
Demonetisation impact unlikely to be felt in short term: Axis Bank CFO Jairam Sridharan,Financial Express,NA,NEW DELHI,2017-01-20,"slippage number can be co-related to demonetisation effects. Actually in the short-run you are unlikely to see any impact. In Q4 also, you are unlikely",0
Almost 50% ATMs still not replenished daily [Times City],The Times of India (Online),NA,New Delhi,2017-01-20,panel on Wednesday that the RBI has pumped back Rs 9.2 lakh crore worth of new notes into circulation. When the demonetisation drive was initiated,0
Government may lower limit for quoting PAN number for cash transactions [Policy],ET Now,NEW DELHI,New Delhi,2017-01-20,"for a less-cash economy after demonetisation and restrictions on cash withdrawals, the government may announce big disincentives in the upcoming Budget for usage of cash.",0
"To ease demonetisation pain, Budget 2017 may moderate tax rates, broad-base tax system",Financial Express,NA,NEW DELHI,2017-01-21,"to soothe the pains of demonetisation and widen the tax base, the government may look at moderating the tax rates and broad-basing the taxation system,",0
Diamond industry in a spot [Surat],The Times of India,SURAT,New Delhi,2017-01-21,"workers is less due to the impact of demonetization and shortage of new currency. ""We are gathering details about diamond workers. After four deaths of",0
Some respite for environment?,The Hindu,Property Plus,Chennai,2017-01-21,"Everyone is talking money - demonetisation, political agenda, cash crunch, hoarding new currency, impacts on daily life, IT raids, eradicating black money and",0
Delhi Confidential: Showing Notes,Indian Express,NA,NEW DELHI,2017-01-21,"Patel appeared to answer questions on demonetisation. Agarwal handed over a few new currency notes to the RBI Governor, saying they were counterfeit and claiming",0
Some respite for environment?,The Hindu,Property Plus,Chennai,2017-01-21,"Everyone is talking money - demonetisation, political agenda, cash crunch, hoarding new currency, impacts on daily life, IT raids, eradicating black money and",0
Sparkle opens amid glimmer of hope about its success [Surat],The Times of India,Surat,New Delhi,2017-01-21,"government, which had lost some lustre because of demonetization and shortage of new currency. ""Sparkle is part of Vibrant Gujarat celebrations and it is going",0
Indian political parties and the King Canute option - Part 2 [Blogs],Blogs (The Times of India Online Edition and The Economic Times Online Edition),NA,New Delhi,2017-01-21,"or abolishing them altogether? None whatsoever.This is the main reason why, symbolism apart, demonetisation is unlikely to have long lasting effects on the black economy.",0
Angry workers not paid wages throw stones at diamond unit [Surat],The Times of India,Surat,New Delhi,2017-01-22,"excuse of demonetization,"" said an angry worker. ""There is a shortage of new currency notes with the banks and the diamond companies do not have",0
RBI: Cash flow to ease eco woes [Times Nation],The Times of India (Online),NA,New Delhi,2017-01-22,"impact of demonetisation to ease with the ""progressive"" increase in circulation of new notes and greater use of digital gateways. RBI also said the impact",0
No need to relax fiscal targets,Businessline,NA,Chennai,2017-01-23,"away. Yet, the proceeds from a one-off revenue boost, including demonetisation, are likely to be channelled to support consumption and continue with social spending projects.|growth from demonetisation, fiscal discipline will remain a priority. The Government is likely to meet the fiscal deficit target of 3.5 per cent of GDP",0
"Jio Wave, Demonetisation to Make it a Turbulent Q3 for Top Telcos [Brands &amp; Companies]",The Economic Times (Online),NA,New Delhi,2017-01-24,"analysts said. ""A full quarter of Jio's free services and demonetisation is likely to result in a sharp sequential revenue decline and an even sharper",0
"Consumption, agri related themes may do well post Budget: Lalit Nambiar, UTI Mutual Fund [Expert View]",ET Now,NA,New Delhi,2017-01-24,"about? After the demonetisation measure which is totally unexpected, all bets on what could happen in the budget are really a conjecture largely. But there",0
"Q3 Preview - Jio Wave, Demonetisation to Make it a Turbulent Q3 for Top Telcos [Brands &amp; Companies]",The Economic Times (Online),NA,New Delhi,2017-01-24,"analysts said. ""A full quarter of Jio's free services and demonetisation is likely to result in a sharp sequential revenue decline and an even sharper",0
CM skips college event as MLA not invited,The Hindu,Tamil Nadu,Chennai,2017-01-24,are now paying more attention than they usually would to rumours about another round of demonetisation. They are gripped by fear of government declaring their,1
Tharoor hits out at Modi govt's decision on demonetisation [Times City],The Times of India (Online),NA,New Delhi,2017-01-24,"cashless economy . ""Soon after the currency ban, a terrorist in Kashmir caught with new currency notes defeated the said purpose. The next tall claim",0
"Reliance Jio wave, demonetisation to make it a turbulent Q3 for Airtel, Idea, other telcos [Earnings]",The Economic Times,KOLKATA,New Delhi,2017-01-24,"analysts said. ""A full quarter of Jio's free services and demonetisation is likely to result in a sharp sequential revenue decline and an even sharper",0
"‘With eye on 2019 elections, there will be plenty of sops in Budget’",Businessline,NA,Chennai,2017-01-24,"the other include more people into the formal financial system, and demonetisation is unlikely to achieve that. There could be an increase in mobile money",0
India asks Nepal to lift ban on new notes to tackle demonetisation woes,Businessline,NA,Chennai,2017-01-24,"freely exchangeable. However, post-demonetisation, Nepal has imposed a blanket ban on the new notes being brought in by Nepalese migrant workers, traders and businessmen.",0
"Q3 Preview Q3 Results - Jio Wave, Demonetisation to Make it a Turbulent Q3 for Top Telcos [Brands &amp; Companies]",The Economic Times (Online),NA,New Delhi,2017-01-24,"analysts said. ""A full quarter of Jio's free services and demonetisation is likely to result in a sharp sequential revenue decline and an even sharper",0
Jaitley may choose not to defer Gaar this time,DNA : Daily News & Analysis,NA,Mumbai,2017-01-24,"keeping in view the economic stability as one of the reasons, the government may choose to implement Gaar immediately after its surprise demonetization move, the",0
NITI AAYOG BRINGS IN BIG DATA BIG GUN TO TRACK FRAUD IN JAN DHAN ACCOUNTS,India Business Insight,NA,Bangalore,2017-01-24,Dhan Yojana (PMJDY) accounts for tracking frauds post demonetisation. The team is likely to scrutinise all bank accounts for unusual transactions post demonetisation. PMHDY was|Dhan Yojana (PMJDY) accounts for tracking frauds post demonetisation. The team is likely to scrutinise all bank accounts for unusual transactions post demonetisation. PMHDY was,0
Tharoor hits out at Modi govt's decision on demonetisation [Jaipur],The Times of India,Jaipur,New Delhi,2017-01-24,"economy. ""Soon after the currency ban, a terrorist in Kashmir caught with new currency notes defeated the said purpose. The next tall claim of curbing",0
"Oswal says demonetisation gains not more than 78 cr, and other 5 imp notes",Free Press Journal,NA,NEW DELHI,2017-01-25,"system.Here are following important notes :* According to domestic brokerage Motilal Oswal, the government may gain only Rs 72,800 crore from the move which includes",0
Lift the veil of secrecy,The Hindu,Opinion,Chennai,2017-01-25,"Newspapers were full of reports of some sensational cases of hoarding of new currency notes, within a few days after the demonetisation, even as common",0
"Hurt by note ban, luxury brands seek rental reduction from malls [Retail]",The Economic Times,NEW DELHI,New Delhi,2017-01-25,"in November 2016 to scrap Rs 1,000 and Rs 500 notes and replace them with new notes led to a severe cash crunch. The demonetisation",0
Realty in 2017: Buyers' market will continue (Comment: Special to IANS),IANS English,NA,Noida,2017-01-25,"are any further policy changes which dampen demand, the effects of demonetisation are likely to settle down by the end of this quarter (March 31).",0
"Street sees Jaitley opening money chest, cutting taxes",DNA : Daily News & Analysis,NA,Mumbai,2017-01-25,"on the eve of five state elections, they know well that the government may have to walk the tightrope. Post demonetization, hopes are high that",0
Note ban will hit property sales by 20-30% this year: Fitch,IANS English,Mumbai,Noida,2017-01-25,"have the largest cash-based economy in the country, and therefore demand is likely to suffer more from the currency demonetisation than other regions. It expected",0
"Nitish again backs note ban, wants to know its benefits [Patna]",The Times of India,PATNA,New Delhi,2017-01-25,"PATNA: Days before assembly polls in a few states where demonetisation is likely to become an election issue, Bihar CM and JD (U) president Nitish",0
"Long-term, gold use looks good despite note ban: WGC",Free Press Journal,Mumbai,NEW DELHI,2017-01-25,impact on gold demand in the country due to demonetisation as there were fears that the government may cap gold holdings and gold buying. Buyers,0
Demonetisation row: Karnataka HC grants anticipatory bail to suspended bureaucrat Jayachandra's relative [Bengaluru],The Times of India,BENGALURU,New Delhi,2017-01-25,"in connection with a case pertaining to recovery of huge amount of new currency in the aftermath of November 8, 2016 demonetisation exercise. The petitioner,",0
IRB Infra net beats toll blues,DNA : Daily News & Analysis,Mumbai,Mumbai,2017-01-26,the government announced non-collection of toll due to demonetization. This compensation is likely to be received during the next fiscal. The company has a total,0
Cost benefits act as the driving force for cement players,Businessline,NA,Chennai,2017-01-26,"cent) saw a decent appreciation. Going forward, with the advent of demonetisation, the next two quarters are likely to witness negative volume growth. It will",0
Budget 2017: Government should bring in simplification of tax laws [Durables],The Economic Times,NA,New Delhi,2017-01-26,"tax slabs. Many reports suggest that to ease the pain of demonetization, government may revise minimum taxable income to Rs. 4 lakh from current Rs.",0
Contraction mode in manufacturing to continue: SBI EcoWrap,IANS English,New Delhi,Noida,2017-01-26,"subdued due to the impact of demonetisation, with the sale of two-wheelers and three-wheelers likely to take a bigger hit due to higher cash component",0
"5,000 suspicious accounts and cash deposits of Rs 1 crore or more under I-T scrutiny [Policy]",The Economic Times,MUMBAI,New Delhi,2017-01-28,"in the wake of demonetisation. Many are currently being summoned and are likely to be slapped with tax notices in the coming months, said tax",0
A mixed bag for real estate,The Hindu,Property Plus,Chennai,2017-01-28,dimensions to capitalise on demand. The impact of demonetisation & relaxation in FDI regulations is likely to unfold by the next three to four quarters.,0
SM Krishna quits Congress &amp; politics [Times Nation],The Times of India (Online),NA,New Delhi,2017-01-29,Gandhi to be relieved from the party's primary membership. Krishna (84) is likely to make the announcement public on Sunday . Sources said Krishna was,0
"Suryoday Small Finance Bank likely to grow 50-60% the next couple of years, says MD Baskar Babu",Businessline,NA,Chennai,2017-01-29,"get our basics right. Because of demonetisation and slowdown effect, we are likely to end the year (FY 17) with assets of INR 1,100 crore.",0
"Note ban: 5,000 suspicious accounts under I-T scrutiny [India Business]",The Times of India,MUMBAI,New Delhi,2017-01-29,"in the wake of demonetisation. Many are currently being summoned and are likely to be slapped with tax notices in the coming months, said tax",0
How President Trump could impact your money [Investment],The Economic Times (Online),NA,New Delhi,2017-01-30,"Axis MF. So domestic factors, such as falling inflation and demonetisation are likely to sustain a falling interest rate regime. However, debt investors should not",0
SP-Congress combine may form next government in UP: Survey,IANS English,New Delhi,Noida,2017-01-30,"most preferred face as the next Chief Minister. However, demonetisation is not likely to play a total spoilsport for the Bharatiya Janata Party (BJP) --",0
CURRENCY IN CIRCULATION 45% SHORT OF PRE-DEMONETISATION LEVELS,India Business Insight,NA,Bangalore,2017-01-30,than six percent of GDP after demonetisation. The overall currency levels is likely to be less than 10 percent of GDP despite Rs10 lakh crore,0
"Financial conditions to deteriorate in fourth quarter, finds CII-IBA survey",Businessline,NA,Chennai,2017-01-30,"dependent on cash, demonetisation has hit trade and consumption hard and the move is likely to take a toll on the country’s growth and output",0
SP-Congress combine may form next government in UP: Survey,IANS English,New Delhi,Noida,2017-01-30,"most preferred face as the next Chief Minister. However, demonetisation is not likely to play a total spoilsport for the Bharatiya Janata Party (BJP) --",0
"As India awaits Budget for tax relief, Donald Trump leads with his own plan for Americans",Financial Express,NA,NEW DELHI,2017-01-30,"well as the US President. After demonetisation, it is expected that Modi government may increase the income tax slab up to Rs 4 lakh from",0
"Irrigation projects, airport expansion top budget wishlist [Trichy]",The Times of India,Trichy,New Delhi,2017-01-30,"tax exemption limit has been getting shriller among the public, especially after demonetisation. ""The union government may raise the tax slab as widely anticipated,"" said",0
Financial conditions index weighed down by banks’ expectations for slowdown,Businessline,NA,Chennai,2017-01-30,"on cash, demonetisation has hit trade and consumption hard and the move is likely to take a toll on the country's growth and output during",0
"For pro-poor thrust, budget focus on housing, infrastructure must (Comment: Special to IANS)",IANS English,NA,Noida,2017-01-30,flagship programmes like AMRUT and Smart Cities Mission require enhanced fund allocation. The government may utilise the demonetisation windfall to allocate more funds for infrastructure,0
"New Rs 500 counterfeit found with AP tourists in Goa, forensic probe begins [Telangana | Andhra Pradesh]",The Times of India (Online),NA,New Delhi,2017-01-30,The first case of counterfeiting of the new currency circulated after demonetisation has come to light in Goa after the,0
SP-Congress may form next government in UP: Survey,Free Press Journal,New Delhi,NEW DELHI,2017-01-31,"the most preferred face as the next Chief Minister.However, demonetisation is not likely to play a total spoilsport for the Bharatiya Janata Party (BJP) -",0
"Survey advocates lower taxes, quick remonetisation for faster growth (Intro Roundup)",IANS English,New Delhi,Noida,2017-01-31,"inflation to be below the RBI's target of 5 percent, a trend likely to be assisted by demonetisation,"" it added. Elaborating on the rationale behind",0
Demonetisation to impact banks' asset quality: Fitch,IANS English,Chennai,Noida,2017-01-31,According to the credit rating agency the impact of demonetisation on asset quality is likely to only start showing up significantly in data for the,0
How President Trump could impact your money [Invest],The Economic Times,NA,New Delhi,2017-01-31,"Axis MF. So domestic factors, such as falling inflation and demonetisation are likely to sustain a falling interest rate regime. However, debt investors should not",0
"Survey advocates lower taxes, quick remonetisation for faster growth (Roundup)",IANS English,New Delhi,Noida,2017-01-31,"inflation to be below the RBI's target of 5 percent, a trend likely to be assisted by demonetisation,"" it added. The Survey has sharply cut",0
"New Rs 500 counterfeit found with AP tourists in Goa, forensic probe begins [Goa]",The Times of India,CALANGUTE (GOA),New Delhi,2017-01-31,CALANGUTE (GOA): The first case of counterfeiting of the new currency circulated after demonetisation has come to light in Goa after the,0
Diamantaire defaults on Rs 7 crore payments [Surat],The Times of India,Surat,New Delhi,2017-02-01,"city after demonetization, market sources said, adding that more such cases are likely to come up as traders and manufacturers are still facing a severe",0
Will FM Jaitley's Budget leave the common man a bit more 'Raees'?,DNA : Daily News & Analysis,NA,Mumbai,2017-02-01,"Also, it is being presented in the backdrop of demonetisation, and hence likely to carry the distinct 'next morning' hangover of 'DeMo' drive. The aam|some steps would be taken in this direction. To summarise, demonetisation is likely to have a huge imprint on the Union Budget, and some of",0
Five reasons why the Budget boosted markets,Businessline,NA,Chennai,2017-02-01,for companies with less than Rs 50 crore turnover - a definition which is unlikely to cover most listed firms. But with demonetisation denting consumer,0
Pre-Budget stock-taking: Economic Survey in 7 points [Policy],The Economic Times,NEW DELHI,New Delhi,2017-02-01,did not include impact of demonetisation on the GDP growth. Subramanian is likely to give his own estimate of the impact of demonetisation on GDP|did not include impact of demonetisation on the GDP growth. Subramanian is likely to give his own estimate of the impact of demonetisation on GDP,0
"Tall promises, poor execution [Cover Story]",Ahmedabad Mirror,NA,New Delhi,2017-02-02,should take Congress legacy forward and work towards improving the quality of education. The government may have promised creation of 2 crore jobs but demonetisation,0
"CAs: Bring back std deduction, raise exemption limits [Nagpur]",The Times of India,NA,New Delhi,2017-02-02,"they say, has increased following demonetization. It is also expected that the government may come up with A levy on cash withdrawals after a certain",0
Immovable property: Period for long-term gains cut to 2 years,Indian Express,NA,NEW DELHI,2017-02-02,"EY India. As the move is expected to lower tax liability, it is likely to incentivise sellers to show the actual value of property as",0
"Union Budget 2017: Tax, real estate sops are what the market is looking for: Mahesh Nandurkar, CLSA [Expert View]",ET Now,NA,New Delhi,2017-02-02,"an attractive story in India. We feel that the demonetisation impact is likely to be temporary. It is not likely to last significantly beyond the|that the demonetisation impact is likely to be temporary. It is not likely to last significantly beyond the March quarter. In fact, my personal feeling",0
"In RS, motion of thanks may be amended yet again",Businessline,NA,Chennai,2017-02-02,thanks moved by Law Minister Ravi Shankar Prasad. The key amendment is likely to about the deaths due to demonetisation. “The Opposition will move amendments,0
"Mumbai: Opposition sticks to script, slams Union budget",Free Press Journal,Mumbai,NEW DELHI,2017-02-02,trouble that people faced due to demonetisation can never be compensated. The government may say that deposits have increased manifold but the truth is that,0
"Budget has not done anything to rock the boat: Upasna Bhardwaj, Kotak Mahindra Bank [Interviews]",ET Now,NA,New Delhi,2017-02-03,of takes into account the IDS schemes because of demonetisation which are likely to give a good collection. So that looks like there we might,0
Letters to the Editor: Feb.2,The Hindu,Opinion,Chennai,2017-02-03,transfer in the wake of the demonetisation. The Budget proposals are not likely to benefit the Bharatiya Janata Party in States such as U.P. given,0
"Oppn to move amendments to Prez speech, embarrass govt on note ban [Times Nation | Politics &amp; Policy]",The Times of India (Online),NA,New Delhi,2017-02-04,"While the total amendments sought run into hundreds, the opposition bloc is likely to limit their focus to those concerning demonetisation. Not only does the",0
Opposition to make government blush on note ban [India],The Times of India,NEW DELHI,New Delhi,2017-02-04,"vote. While the total amendments sought run into hundreds, the opposition bloc is likely to focus on those concerning demonetisation. Not only does the opposition",0
Oppn to make govt blush on note ban [Times Nation],The Times of India (Online),NA,New Delhi,2017-02-04,"While the total amendments sought run into hundreds, the opposition bloc is likely to focus on those concerning demonetisation. Not only does the opposition believe",0
Oppn plans amendment to Prez speech [Times Nation],The Times of India (Online),NA,New Delhi,2017-02-04,"vote.While the total amendments sought run into hundreds, the opposition bloc is likely to limit their focus to those concerning demonetisation. Not only does the",0
"Oppn to close ranks, take on govt [Times Nation]",The Times of India (Online),NA,New Delhi,2017-02-04,"While the total amendments sought run into hundreds, the opposition bloc is likely to limit their focus to those concerning demonetisation. Not only does the",0
Note ban: Prez speech in oppn sights [Times Nation],The Times of India (Online),NA,New Delhi,2017-02-04,"While the total amendments sought run into hundreds, the opposition bloc is likely to limit its focus to those relating to demonetisation. Not only does",0
"Jaitley's fiscal pledge, easing inflation make case for a rate cut on February 8, say ET poll participants [Policy]",The Economic Times,MUMBAI,New Delhi,2017-02-06,"MUMBAI: The Reserve Bank of India is likely to cut the policy rate by a quarter percentage point, with the",0
May seek triple talaq ban after polls: Prasad [Times Nation],The Times of India (Online),NA,New Delhi,2017-02-06,"the SC on three points -justice, equality and dignity of women. ""The government may take a major step to ban triple talaq after the UP",0
"PAC likely to meet Finance Ministry officials on February 10, to seek views on demonetisation",Financial Express,NA,NEW DELHI,2017-02-07,"Ministry officials on February 10 according to TV reports. ""The panel is likely to seek Finance Ministry's views on demonetisation and banks' bad debts. It",0
"Jaitley's fiscal pledge, easing inflation make case for a rate cut on February 8, say ET poll participants [India Business]",The Times of India,MUMBAI,New Delhi,2017-02-07,"MUMBAI: The Reserve Bank of India is likely to cut the policy rate by a quarter percentage point, with the",0
Demonetisation damage exceeds benefits: Tharoor,IANS English,New Delhi,Noida,2017-02-07,"black money, the move spawned more black money when banks slipped out new notes from the back door. ""From 9 a.m to 5 p.m they",0
Union Budget 2017 has done precious little to rationalise explicit subsidies,Financial Express,NA,NEW DELHI,2017-02-07,"acknowledges the negative impact of demonetisation, but asserts that the slowdown is likely to be limited to 0.25-0.5 percentage point which, considering the disruption in",0
Noida garment exports hit by global economic slowdown [Noida],The Times of India,NOIDA,New Delhi,2017-02-07,"business may lose out to Bangladesh, Vietnam, Cambodia. However recruitment has started once again post a temporary period retrenchment post demonetization. ""Most garment manufacturing units",0
"For jobs, peace and growth, voters weigh Akhilesh and Maya speeches",Indian Express,NA,NEW DELHI,2017-02-07,"for the statues and monuments she built and assured it would not happen again. She too attacked the BJP for demonetisation and the ""failed"" 2017",0
TMC targets Prez address [Times Nation],The Times of India (Online),NA,New Delhi,2017-02-07,"Roy said as much as Rs 20,000 crore was being spent on the printing of new currency notes following demonetisation. Even Reserve Bank of India,",0
"RBI had recommended demonetisation, Jaitley tells RS",United News of India,New Delhi,New Delhi,2017-02-07,board had approved the decision for demonetisation and approved the designs of the new currency replacing the old high-value cash. Thereafter a series of meetings,0
"RBI keeps key policy rate unchanged, but expect your EMIs to come down further",Financial Express,NA,NEW DELHI,2017-02-08,"post the demonetisation of high-value currency notes and any rate cut is unlikely to deliver the desired results. Whatever be the case, experts say that",0
Demonetisation issue rocks Karnataka Assembly,United News of India,Bengaluru,New Delhi,2017-02-08,"in cooperative banks in Karnataka and RBI had refused to demonetise it with new currency and this had deeply affected the farming class. The union|at a better price, while RBI ban on cooperative societies on use of new notes had left them in the lurch and they were either",0
RBI to scrap savings account cash withdrawal limits by March 13,Financial Express,NA,NEW DELHI,2017-02-08,imposed strict withdrawal limits after demonetisation to ensure maximum distribution of the new currency notes in view of the constraints on printing and supplying of,0
"Restrictions, sufferings post note ban not over: Mamata",IANS English,Kolkata,Noida,2017-02-08,"suffering. Commoners, middle class, downtrodden, poorest continue to suffer,"" she added. She once again termed the move as ""visionless"", ""missionless"" and ""directionless"". ""DeMo-ReMo (Demonetisation and",0
PM Modi's speech defending demonetization in Lok Sabha suggests BJP is worried about its political fallout,DNA : Daily News & Analysis,NA,Mumbai,2017-02-08,"periods. However, Union Minister Venkaiah Naidu had recently said that demonetization is likely to help BJP sweep the Assembly polls. Other prominent BJP leaders have",0
"RBI’s policy decision slightly negative for Indian equities, rupee: Nomura",Businessline,NA,Chennai,2017-02-09,"the report, the market concerns will not be long-lasting as demonetisation is likely to have a temporary impact and the government’s fiscal policy remains supportive",0
RBI skirts question on new currency break-up estimates [India Business],The Times of India,PUNE,New Delhi,2017-02-09,"and Rs 2000 pumped back into the system since demonetisation. On the new currency put back into the system since November 8, the RBI deputy",0
"Q3 earnings sail, but DeMo looms on next two quarters",DNA : Daily News & Analysis,Mumbai,Mumbai,2017-02-10,"Advisory. While 3QFY17 has not seen severe after-effect of demonetization, the impact is likely to be more visible in the next two quarters, he said.",0
Economic Survey,The Assam Tribune,Guwahati,New Delhi,2017-02-10,"price index) inflation to be below the RBI's target of 5%, a trend likely to be assisted by the recent demonetization. Besides management of inflation,",0
Need of the hour is opposition unity: Nitish Kumar at Chidambaram's book launch,Indian Express,NA,NEW DELHI,2017-02-10,"from the issue. Calling demonetisation a big blunder, Chidambaram said it is possible that popular silence is being interpreted as popular support. ""Without an Opposition",0
Broker's call: Voltas (Buy),Businessline,NA,Chennai,2017-02-10,"durable segments have witnessed dent on the back of demonetisation. Though, we are likely to see impact of this in December quarter, however any major",0
"SBI Q3 performance: Slippages stable, but risks to earnings persist",Businessline,NA,Chennai,2017-02-10,"quarter has been impacted by demonetisation and unwinding of FCNR-linked loans, credit offtake is unlikely to improve substantially in the coming quarters. The management guided",0
Five things to watch out for today,Businessline,NA,Chennai,2017-02-10,Committee is likely to meet Finance Ministry officials today. The panel is likely to seek the Finance Ministry’s views on demonetisation and banks’ bad debts.,0
PC: Note ban an economic failure [Times Nation],The Times of India (Online),NA,New Delhi,2017-02-10,"cing demonetisation on November 8. He recalled how many were caught with new notes worth crores, days after demonetisation. ""This means that corruption and black",0
"AAP to perform exceedingly well in Goa, Punjab: Sisodia",IANS English,Jaipur,Noida,2017-02-11,on black money it has received after demonetisation and the quantity of new currency Reserve Bank of India (RBI) has issued since November 8 when,0
Demonetisation: PMO asks for details of ministers' outstation tours,Financial Express,NA,NEW DELHI,2017-02-11,"Narendra Modi in his long-winded speech in the Parliament on Tuesday had once again addressed the concerns of demonetisation. ""Some people have said why was",0
"Demonetisation Took the Fizz Out, Feels Coke [The Economic Times]",The Economic Times (Online),NA,New Delhi,2017-02-11,"time to resolve. ""For example, in India, the tough operating environment stemming from demonetisation is likely to persist at the start of the year before",0
Cashless economy may soon fizzle out bharat jhunjhunwala,Free Press Journal,NA,NEW DELHI,2017-02-11,reverted to cash for making their black money transactions. The large numbers of new notes apprehended in bulk after the demonetisation drive indicates that new|numbers of new notes apprehended in bulk after the demonetisation drive indicates that new notes have taken place of old notes in the stocks of,0
"Demonetisation took the fizz out of Coke, CEO-designate says note ban drained liquidity [Food]",The Economic Times,NEW DELHI,New Delhi,2017-02-11,"of our bottling system, the tough operating environment stemming from demonetisation is likely to persist at the start of the year before gradually recovering,"" she",0
UP Phase-1 turnout has parties guessing,DNA. Sunday,New Delhi,Mumbai,2017-02-12,"Following the demonetization of high-value currency notes, these Assembly elections are also likely to be seen as a test of Prime Minister Narendra Modi's popularity,",0
"Demonetisation took the fizz out, feels Coke [India Business]",The Times of India,NEW DELHI,New Delhi,2017-02-12,"of our bottling system, the tough operating environment stemming from demonetisation is likely to persist at the start of the year before gradually recovering,"" she",0
Housing Credit: 'Home loan growth likely to be lower in 16-18 per cent range in FY17',Indian Express,NA,NEW DELHI,2017-02-15,"making News ""Following demonetisation, the growth in home loans in FY17 is likely to be lower at 16-18 per cent from ICRA's earlier expectations of",0
WPI inflation to rise in next 3 months: Nomura,Businessline,NA,Chennai,2017-02-15,"equipment fell month-on-month in January. Given weak domestic demand following the demonetisation, demand-side pressures are unlikely to emerge in the immediate future. However, increase in",0
